seed-> 9607
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='input_lr.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9607, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/input_lr/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='21:59:15')
alpha:20
scale 4:[0/1000], errG: 0.187366 ,output.mean(): -0.187366, rec_loss:0.434499
scale 4:[25/1000], errG: 0.246896 ,output.mean(): -0.246896, rec_loss:0.077646
scale 4:[50/1000], errG: 0.504852 ,output.mean(): -0.504852, rec_loss:0.063003
scale 4:[75/1000], errG: 0.426847 ,output.mean(): -0.426847, rec_loss:0.056102
scale 4:[100/1000], errG: 0.295680 ,output.mean(): -0.295680, rec_loss:0.043147
scale 4:[125/1000], errG: 0.218416 ,output.mean(): -0.218416, rec_loss:0.026152
scale 4:[150/1000], errG: 0.137094 ,output.mean(): -0.137094, rec_loss:0.030299
scale 4:[175/1000], errG: 0.106954 ,output.mean(): -0.106954, rec_loss:0.032424
scale 4:[200/1000], errG: 0.155273 ,output.mean(): -0.155273, rec_loss:0.023578
scale 4:[225/1000], errG: 0.164623 ,output.mean(): -0.164623, rec_loss:0.020709
scale 4:[250/1000], errG: 0.208351 ,output.mean(): -0.208351, rec_loss:0.024574
scale 4:[275/1000], errG: 0.204414 ,output.mean(): -0.204414, rec_loss:0.022568
scale 4:[300/1000], errG: 0.167722 ,output.mean(): -0.167722, rec_loss:0.017835
scale 4:[325/1000], errG: 0.054384 ,output.mean(): -0.054384, rec_loss:0.019034
scale 4:[350/1000], errG: 0.186871 ,output.mean(): -0.186871, rec_loss:0.013748
scale 4:[375/1000], errG: 0.169677 ,output.mean(): -0.169677, rec_loss:0.010713
scale 4:[400/1000], errG: 0.117832 ,output.mean(): -0.117832, rec_loss:0.012737
scale 4:[425/1000], errG: 0.066687 ,output.mean(): -0.066687, rec_loss:0.009922
scale 4:[450/1000], errG: 0.071025 ,output.mean(): -0.071025, rec_loss:0.011396
scale 4:[475/1000], errG: 0.024805 ,output.mean(): -0.024805, rec_loss:0.013122
scale 4:[500/1000], errG: 0.034497 ,output.mean(): -0.034497, rec_loss:0.011064
scale 4:[525/1000], errG: -0.038028 ,output.mean(): 0.038028, rec_loss:0.011429
scale 4:[550/1000], errG: -0.033540 ,output.mean(): 0.033540, rec_loss:0.009333
