seed-> 3415
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=3415, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='24.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=256, train_on_last_scale=0, training_name='', tx='17:42:48')
alpha:20
scale 4:[0/1000], errG: 0.069993 , errGfrozen : 0.013124, rec_loss:0.444980
scale 4:[25/1000], errG: 0.145660 , errGfrozen : 0.008635, rec_loss:0.050126
scale 4:[50/1000], errG: 0.194717 , errGfrozen : 0.010789, rec_loss:0.043245
scale 4:[75/1000], errG: 0.112747 , errGfrozen : 0.015373, rec_loss:0.035779
scale 4:[100/1000], errG: 0.129759 , errGfrozen : 0.011639, rec_loss:0.021101
scale 4:[125/1000], errG: 0.111859 , errGfrozen : 0.013749, rec_loss:0.043394
scale 4:[150/1000], errG: 0.024005 , errGfrozen : 0.011955, rec_loss:0.008256
scale 4:[175/1000], errG: 0.087995 , errGfrozen : 0.011970, rec_loss:0.006105
scale 4:[200/1000], errG: 0.094685 , errGfrozen : 0.011041, rec_loss:0.005538
scale 4:[225/1000], errG: 0.042569 , errGfrozen : 0.012319, rec_loss:0.006927
scale 4:[250/1000], errG: 0.031582 , errGfrozen : 0.011990, rec_loss:0.006095
scale 4:[275/1000], errG: 0.014833 , errGfrozen : 0.012327, rec_loss:0.009511
scale 4:[300/1000], errG: -0.130632 , errGfrozen : 0.011762, rec_loss:0.005496
scale 4:[325/1000], errG: -0.072561 , errGfrozen : 0.012893, rec_loss:0.006843
scale 4:[350/1000], errG: -0.027211 , errGfrozen : 0.011623, rec_loss:0.013251
scale 4:[375/1000], errG: -0.073287 , errGfrozen : 0.013432, rec_loss:0.006993
scale 4:[400/1000], errG: -0.091199 , errGfrozen : 0.012144, rec_loss:0.006421
scale 4:[425/1000], errG: -0.112691 , errGfrozen : 0.012095, rec_loss:0.005229
scale 4:[450/1000], errG: -0.033015 , errGfrozen : 0.011281, rec_loss:0.006331
scale 4:[475/1000], errG: -0.091887 , errGfrozen : 0.013055, rec_loss:0.004998
scale 4:[500/1000], errG: -0.109384 , errGfrozen : 0.013806, rec_loss:0.005384
scale 4:[525/1000], errG: -0.088618 , errGfrozen : 0.015491, rec_loss:0.008822
scale 4:[550/1000], errG: -0.119256 , errGfrozen : 0.012959, rec_loss:0.006024
scale 4:[575/1000], errG: -0.146792 , errGfrozen : 0.014631, rec_loss:0.005375
scale 4:[600/1000], errG: -0.153383 , errGfrozen : 0.014982, rec_loss:0.007323
scale 4:[625/1000], errG: -0.166308 , errGfrozen : 0.015668, rec_loss:0.006559
scale 4:[650/1000], errG: -0.160691 , errGfrozen : 0.015702, rec_loss:0.005454
scale 4:[675/1000], errG: -0.155110 , errGfrozen : 0.014777, rec_loss:0.005462
scale 4:[700/1000], errG: -0.142995 , errGfrozen : 0.015743, rec_loss:0.006349
scale 4:[725/1000], errG: -0.055951 , errGfrozen : 0.010807, rec_loss:0.008201
scale 4:[750/1000], errG: -0.072659 , errGfrozen : 0.012970, rec_loss:0.006322
scale 4:[775/1000], errG: -0.146631 , errGfrozen : 0.012757, rec_loss:0.006665
scale 4:[800/1000], errG: -0.131099 , errGfrozen : 0.014276, rec_loss:0.008141
scale 4:[825/1000], errG: -0.159293 , errGfrozen : 0.014722, rec_loss:0.007297
scale 4:[850/1000], errG: -0.138661 , errGfrozen : 0.014442, rec_loss:0.006854
scale 4:[875/1000], errG: -0.164750 , errGfrozen : 0.013805, rec_loss:0.005828
scale 4:[900/1000], errG: -0.184641 , errGfrozen : 0.014429, rec_loss:0.007187
scale 4:[925/1000], errG: -0.165304 , errGfrozen : 0.013905, rec_loss:0.006787
scale 4:[950/1000], errG: -0.163050 , errGfrozen : 0.014738, rec_loss:0.006236
scale 4:[975/1000], errG: -0.139655 , errGfrozen : 0.013348, rec_loss:0.008623
scale 4:[999/1000], errG: -0.152251 , errGfrozen : 0.013547, rec_loss:0.008101
Scale: 4, realD_loss: -0.108277 
alpha:20
scale 5:[0/1000], errG: -0.169742 , errGfrozen : 0.018164, rec_loss:0.079889
scale 5:[25/1000], errG: -0.123991 , errGfrozen : 0.019931, rec_loss:0.035254
scale 5:[50/1000], errG: -0.126908 , errGfrozen : 0.015768, rec_loss:0.022611
scale 5:[75/1000], errG: -0.183596 , errGfrozen : 0.016623, rec_loss:0.015466
scale 5:[100/1000], errG: -0.199526 , errGfrozen : 0.015791, rec_loss:0.013016
scale 5:[125/1000], errG: -0.215316 , errGfrozen : 0.014390, rec_loss:0.014044
scale 5:[150/1000], errG: -0.182226 , errGfrozen : 0.015046, rec_loss:0.012075
scale 5:[175/1000], errG: -0.175329 , errGfrozen : 0.013868, rec_loss:0.012095
scale 5:[200/1000], errG: -0.189171 , errGfrozen : 0.014805, rec_loss:0.011986
scale 5:[225/1000], errG: -0.170737 , errGfrozen : 0.013298, rec_loss:0.011364
scale 5:[250/1000], errG: -0.137540 , errGfrozen : 0.012572, rec_loss:0.010476
scale 5:[275/1000], errG: -0.147033 , errGfrozen : 0.011992, rec_loss:0.011750
