seed-> 4160
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/customSR', input_name='11.png', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=4160, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=1, nc_z=1, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='140.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/11/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=1, sr_factor=2.0, stride=1, threshold=128, train_on_last_scale=0, training_name='', tx='07:07:48')
alpha:20
scale 3:[925/1000], errG: 0.554501 ,output.mean(): -0.554501, rec_loss:0.000401
scale 3:[950/1000], errG: 0.543179 ,output.mean(): -0.543179, rec_loss:0.000403
scale 3:[975/1000], errG: 0.534329 ,output.mean(): -0.534329, rec_loss:0.000335
scale 3:[999/1000], errG: 0.518032 ,output.mean(): -0.518032, rec_loss:0.000279
Scale: 3, realD_loss: -0.015015 
alpha:20
scale 4:[0/1000], errG: -0.112633 ,output.mean(): 0.112633, rec_loss:0.075615
scale 4:[25/1000], errG: 0.013405 ,output.mean(): -0.013405, rec_loss:0.029395
scale 4:[50/1000], errG: 0.328572 ,output.mean(): -0.328572, rec_loss:0.016415
scale 4:[75/1000], errG: 0.387131 ,output.mean(): -0.387131, rec_loss:0.010800
scale 4:[100/1000], errG: 0.282354 ,output.mean(): -0.282354, rec_loss:0.009347
scale 4:[125/1000], errG: 0.414917 ,output.mean(): -0.414917, rec_loss:0.011524
scale 4:[150/1000], errG: 0.320892 ,output.mean(): -0.320892, rec_loss:0.008412
scale 4:[175/1000], errG: 0.610522 ,output.mean(): -0.610522, rec_loss:0.015462
scale 4:[200/1000], errG: 0.319685 ,output.mean(): -0.319685, rec_loss:0.011763
scale 4:[225/1000], errG: 0.257898 ,output.mean(): -0.257898, rec_loss:0.005310
scale 4:[250/1000], errG: 0.367904 ,output.mean(): -0.367904, rec_loss:0.008418
scale 4:[275/1000], errG: 0.332471 ,output.mean(): -0.332471, rec_loss:0.006677
scale 4:[300/1000], errG: 0.351980 ,output.mean(): -0.351980, rec_loss:0.003759
scale 4:[325/1000], errG: 0.400013 ,output.mean(): -0.400013, rec_loss:0.004261
