seed-> 9367
Namespace(Dsteps=3, Gsteps=3, alpha=20, beta1=0.5, custom_sr_alpha=20, device=device(type='cuda', index=0), frozenWeight=0.7, gamma=0.1, input_dir='./Input/different_examples', input_name='landscape.jpg', ker_size=2, lambda_grad=0.1, lr_d=0.001, lr_g=0.001, manualSeed=9367, max_size=250, min_nfc=32, min_nfc_init=32, min_size=25, mode='SR', nc_im=3, nc_z=3, netD='', netG='', nfc=32, nfc_init=32, niter=1000, niter_init=1000, noise_amp=0.1, noise_amp_init=0.1, noisy_input_name='3_noisy.png', not_cuda=0, num_layer=5, out='Output', out_='TrainedModels/landscape/scale_factor=0.750000/', padd_size=0, scale_factor=0.75, scale_factor_init=0.75, skip_training=0, sr_factor=2.0, stride=1, train_on_last_scale=0, training_name='', tx='18:29:17')
alpha:20
scale 3:[500/1000], errG: -1.008316 ,output.mean(): 1.008316, rec_loss:0.003684
scale 3:[525/1000], errG: -0.913051 ,output.mean(): 0.913051, rec_loss:0.004000
scale 3:[550/1000], errG: -0.808283 ,output.mean(): 0.808283, rec_loss:0.003417
scale 3:[575/1000], errG: -0.816175 ,output.mean(): 0.816175, rec_loss:0.003467
scale 3:[600/1000], errG: -0.721560 ,output.mean(): 0.721560, rec_loss:0.003546
scale 3:[625/1000], errG: -0.743388 ,output.mean(): 0.743388, rec_loss:0.003513
scale 3:[650/1000], errG: -0.698070 ,output.mean(): 0.698070, rec_loss:0.003561
scale 3:[675/1000], errG: -0.658414 ,output.mean(): 0.658414, rec_loss:0.003639
scale 3:[700/1000], errG: -0.610264 ,output.mean(): 0.610264, rec_loss:0.003501
scale 3:[725/1000], errG: -0.543740 ,output.mean(): 0.543740, rec_loss:0.003813
scale 3:[750/1000], errG: -0.583723 ,output.mean(): 0.583723, rec_loss:0.003499
scale 3:[775/1000], errG: -0.563012 ,output.mean(): 0.563012, rec_loss:0.003481
scale 3:[800/1000], errG: -0.619339 ,output.mean(): 0.619339, rec_loss:0.003627
scale 3:[825/1000], errG: -0.463734 ,output.mean(): 0.463734, rec_loss:0.003316
scale 3:[850/1000], errG: -0.649865 ,output.mean(): 0.649865, rec_loss:0.003434
scale 3:[875/1000], errG: -0.590389 ,output.mean(): 0.590389, rec_loss:0.003338
scale 3:[900/1000], errG: -0.554612 ,output.mean(): 0.554612, rec_loss:0.003335
scale 3:[925/1000], errG: -0.677534 ,output.mean(): 0.677534, rec_loss:0.003450
scale 3:[950/1000], errG: -0.607735 ,output.mean(): 0.607735, rec_loss:0.003280
scale 3:[975/1000], errG: -0.525629 ,output.mean(): 0.525629, rec_loss:0.003892
scale 3:[999/1000], errG: -0.484845 ,output.mean(): 0.484845, rec_loss:0.003159
Scale: 3, realD_loss: 0.000000 
alpha:20
scale 4:[0/1000], errG: -0.113585 ,output.mean(): 0.113585, rec_loss:0.550412
scale 4:[25/1000], errG: 0.197278 ,output.mean(): -0.197278, rec_loss:0.045254
scale 4:[50/1000], errG: 0.459244 ,output.mean(): -0.459244, rec_loss:0.023937
scale 4:[75/1000], errG: 0.483671 ,output.mean(): -0.483671, rec_loss:0.017972
scale 4:[100/1000], errG: 0.526359 ,output.mean(): -0.526359, rec_loss:0.020152
scale 4:[125/1000], errG: 0.450531 ,output.mean(): -0.450531, rec_loss:0.015440
scale 4:[150/1000], errG: 0.475070 ,output.mean(): -0.475070, rec_loss:0.013231
scale 4:[175/1000], errG: 0.429318 ,output.mean(): -0.429318, rec_loss:0.018425
scale 4:[200/1000], errG: 0.425894 ,output.mean(): -0.425894, rec_loss:0.016620
scale 4:[225/1000], errG: 0.331361 ,output.mean(): -0.331361, rec_loss:0.017631
scale 4:[250/1000], errG: 0.400605 ,output.mean(): -0.400605, rec_loss:0.027874
scale 4:[275/1000], errG: 0.306067 ,output.mean(): -0.306067, rec_loss:0.026712
scale 4:[300/1000], errG: 0.273073 ,output.mean(): -0.273073, rec_loss:0.030036
